title	genres	release_date	vote_average	runtime	original_language
Toy Story	" 16, 'Animation',  35, 'Comedy',  10751, 'Family'"	10301995	7.7	81	en
Jumanji	" 12, 'Adventure',  14, 'Fantasy',  10751, 'Family'"	12151995	6.9	104	en
Grumpier Old Men	" 10749, 'Romance',  35, 'Comedy'"	12221995	6.5	101	en
Waiting to Exhale	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	12221995	6.1	127	en
Father of the Bride Part II	" 35, 'Comedy'"	2101995	5.7	106	en
Heat	" 28, 'Action',  80, 'Crime',  18, 'Drama',  53, 'Thriller'"	12151995	7.7	170	en
Sabrina	" 35, 'Comedy',  10749, 'Romance'"	12151995	6.2	127	en
Tom and Huck	" 28, 'Action',  12, 'Adventure',  18, 'Drama',  10751, 'Family'"	12221995	5.4	97	en
Sudden Death	" 28, 'Action',  12, 'Adventure',  53, 'Thriller'"	12221995	5.5	106	en
GoldenEye	" 12, 'Adventure',  28, 'Action',  53, 'Thriller'"	11161995	6.6	130	en
The American President	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	11171995	6.5	106	en
Dracula: Dead and Loving It	" 35, 'Comedy',  27, 'Horror'"	12221995	5.7	88	en
Balto	" 10751, 'Family',  16, 'Animation',  12, 'Adventure'"	12221995	7.1	78	en
Nixon	" 36, 'History',  18, 'Drama'"	12221995	7.1	192	en
Cutthroat Island	" 28, 'Action',  12, 'Adventure'"	12221995	5.7	119	en
Casino	" 18, 'Drama',  80, 'Crime'"	11221995	7.8	178	en
Sense and Sensibility	" 18, 'Drama',  10749, 'Romance'"	12131995	7.2	136	en
Four Rooms	" 80, 'Crime',  35, 'Comedy'"	1291995	6.5	98	en
Ace Ventura: When Nature Calls	" 80, 'Crime',  35, 'Comedy',  12, 'Adventure'"	11101995	6.1	90	en
Money Train	" 28, 'Action',  35, 'Comedy',  80, 'Crime'"	11211995	5.4	103	en
Get Shorty	" 35, 'Comedy',  53, 'Thriller',  80, 'Crime'"	10201995	6.4	105	en
Copycat	" 18, 'Drama',  53, 'Thriller'"	10271995	6.5	124	en
Assassins	" 28, 'Action',  12, 'Adventure',  80, 'Crime',  53, 'Thriller'"	1061995	6	132	en
Powder	" 18, 'Drama',  14, 'Fantasy',  878, 'Science Fiction',  53, 'Thriller'"	10271995	6.3	111	en
Leaving Las Vegas	" 18, 'Drama',  10749, 'Romance'"	10271995	7.1	112	en
Othello	" 18, 'Drama'"	12151995	7	123	en
Now and Then	" 35, 'Comedy',  18, 'Drama',  10751, 'Family'"	10201995	6.6	100	en
Persuasion	" 18, 'Drama',  10749, 'Romance'"	9271995	7.4	104	en
The City of Lost Children	" 14, 'Fantasy',  878, 'Science Fiction',  12, 'Adventure'"	5161995	7.6	108	fr
Shanghai Triad	" 18, 'Drama',  80, 'Crime'"	4301995	6.5	108	zh
Dangerous Minds	" 18, 'Drama',  80, 'Crime'"	8111995	6.4	99	en
Twelve Monkeys	" 878, 'Science Fiction',  53, 'Thriller',  9648, 'Mystery'"	12291995	7.4	129	en
Wings of Courage	" 10749, 'Romance',  12, 'Adventure'"	9181996	6.8	50	fr
Babe	" 14, 'Fantasy',  18, 'Drama',  35, 'Comedy',  10751, 'Family'"	7181995	6	89	en
Carrington	" 36, 'History',  18, 'Drama',  10749, 'Romance'"	1181995	6.4	121	en
Dead Man Walking	" 18, 'Drama'"	12291995	7.3	122	en
Across the Sea of Time	" 12, 'Adventure',  36, 'History',  18, 'Drama',  10751, 'Family'"	10201995	3.5	51	en
It Takes Two	" 35, 'Comedy',  10751, 'Family',  10749, 'Romance'"	11171995	6.1	101	en
Clueless	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	7191995	6.9	97	en
"Cry, the Beloved Country"	" 18, 'Drama'"	12151995	6.7	106	en
Richard III	" 18, 'Drama',  10752, 'War'"	12291995	6.9	104	en
Dead Presidents	" 28, 'Action',  80, 'Crime',  18, 'Drama',  36, 'History'"	1061995	6.6	119	en
Restoration	" 18, 'Drama',  10749, 'Romance'"	12291995	6.3	117	en
Mortal Kombat	" 28, 'Action',  14, 'Fantasy'"	8181995	5.4	101	en
To Die For	" 14, 'Fantasy',  18, 'Drama',  35, 'Comedy',  53, 'Thriller'"	5201995	6.7	106	en
How To Make An American Quilt	" 18, 'Drama',  10749, 'Romance'"	1061995	6.5	116	en
Se7en	" 80, 'Crime',  9648, 'Mystery',  53, 'Thriller'"	9221995	8.1	127	en
Pocahontas	" 12, 'Adventure',  16, 'Animation',  18, 'Drama',  10751, 'Family'"	6141995	6.7	81	en
When Night Is Falling	" 18, 'Drama',  10749, 'Romance'"	551995	5.9	96	en
The Usual Suspects	" 18, 'Drama',  80, 'Crime',  53, 'Thriller'"	7191995	8.1	106	en
Guardian Angel	" 28, 'Action',  53, 'Thriller',  18, 'Drama'"	11221994	6.3	93	en
Mighty Aphrodite	" 35, 'Comedy',  10749, 'Romance'"	9131995	6.7	95	en
Lamerica	" 18, 'Drama',  10769, 'Foreign'"	111994	7.7	116	it
The Big Green	" 28, 'Action',  12, 'Adventure',  35, 'Comedy',  10751, 'Family'"	9291995	5.2	100	en
Georgia	" 18, 'Drama'"	5191995	6.1	115	en
Kids of the Round Table	 " 'Null 	781997	3	89	en
Home for the Holidays	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	1121995	6.3	103	en
The Postman	" 35, 'Comedy',  18, 'Drama',  10749, 'Romance'"	9221994	7.6	108	it
The Confessional	" 53, 'Thriller',  18, 'Drama',  9648, 'Mystery'"	9291995	6.5	100	fr
The Indian in the Cupboard	" 12, 'Adventure',  10751, 'Family',  14, 'Fantasy'"	7141995	5.9	96	en
Eye for an Eye	" 18, 'Drama',  53, 'Thriller'"	1121996	5.8	101	en
